gene_id,gene_name,S231145,S231288,S231447,S231491,S231603,VN_0005,VN_0007,VN_0012,VN_0085,VN_0188,VN_0413,VN_0812,VN_0822
ENSG00000277246.1,RP11-153I24.4,0,2,4,0,0,1,0,0,1,2,0,0,4
ENSG00000277247.1,RP11-785D18.3,0,1,0,0,2,0,0,0,0,0,0,0,0
ENSG00000277248.1,U2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277249.1,MIR6784,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277250.1,Metazoa_SRP,0,6,0,2,0,0,0,0,1,0,0,0,0
ENSG00000277252.1,RP11-496I2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277253.1,RP13-580B18.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277255.1,MIR7854,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277257.1,AC013738.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277258.4,PCGF2,6,7,5,4,9,5,6,2,0,0,8,2,5
ENSG00000277259.1,AL589787.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277260.1,FAM74A7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277264.1,MIR6833,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277265.1,RN7SL556P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277268.1,RP11-445F12.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277269.1,MESTIT1_1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277270.1,RP5-827E24.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277274.1,DUX4L22,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277275.1,AC004000.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277277.2,CH507-396I9.7,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000277282.1,IGHV1OR21-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277283.1,RP1-267D11.6,59,95,29,78,66,22,30,15,21,24,37,42,20
ENSG00000277284.1,MIR7704,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277285.1,AC096752.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277287.1,RP4-794I6.4,2,0,2,0,1,5,0,0,0,0,0,0,0
ENSG00000277288.3,C10orf142,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277289.1,RP11-485B17.12,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277290.1,RP11-326C3.16,0,0,0,2,4,0,0,0,0,0,0,0,0
ENSG00000277294.1,AL645608.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277295.1,RN7SL489P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277296.1,AC002429.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277297.1,ATP5A1P10,3.869,0,8.995,8.543,13.964,5,0,4.597,0,7.742,1,2,1
ENSG00000277299.1,RP11-837J7.4,4,17,18,15,26,5,6,0,3,9,1,5,2
ENSG00000277300.1,AP003041.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277301.1,RP5-1184F4.7,5,49,3,40,23,6,4,2,4,1,12,14,2
ENSG00000277302.1,MIR7844,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277304.1,RP11-989E6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277305.1,AP000960.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277306.1,uc_338,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277308.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277310.1,RP11-699C17.1,2,0,0,0,0,0,1,1,1,0,1,0,1
ENSG00000277311.1,Six3os1_2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277312.1,AL139398.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277313.1,7SK,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277315.1,RP1-209B9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277319.1,RP11-326L9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277320.1,PCA3_2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277321.1,MIR6820,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277322.1,GOLGA6L6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277323.1,AC093763.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277324.1,RP11-850A17.1,9,3,7,8,12,5,7,6,8,7,9,8,4
ENSG00000277325.1,MIR6756,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277326.1,MIR6805,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277327.1,SPDYE20P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277328.1,MIR19A,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277329.1,AC091114.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277330.1,AC138969.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277331.1,AC239800.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277332.1,AC145123.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277333.1,AC026799.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277338.1,AL589863.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277340.1,RP11-157L3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
